student,overall_placement_scale_score,scale_score,no_number_and_operations,alg_algebra_and_algebraic_thinking,ms_measurement_and_data,geo_geometry,typical_growth,stretch_growth,diagnostic_date,attendance_rate,tardies_ytd,behavior_incidents_ytd,positive_behavior_points,engagement_rating_1_5,at_risk_behavior_flag
"BAKER, Nova",Emerging K (200),200,Mid K,Mid K,Mid K,Emerging K,22,40,02/28/26,87.7,11,0,13,4,No
"ANDERSON, Layla",Mid K (369),369,Mid K,Emerging K,Late K,Emerging K,43,49,03/08/26,86.7,6,1,48,1,No
"ROMERO, Riley",Grade 3 (520),520,Grade 2,Grade 2,Grade 2,Grade 4,41,49,05/07/26,91.7,8,0,38,4,No
"REYES, Naomi",Grade 2 (486),486,Grade 2,Mid Grade 1,Grade 4,Mid Grade 1,29,46,04/23/26,94.7,11,1,15,2,No
"NUNEZ, Maverick",Grade 3 (520),520,Late Grade 1,Grade 5,Late Grade 1,Grade 3,37,55,06/12/26,97.9,9,0,26,5,No
"THOMPSON, Amelia",Grade 6 (575),575,Grade 5,Grade 7,Grade 5,Grade 8,40,53,05/26/26,100.0,3,0,46,4,No
"MENDOZA, Penelope",Grade 3 (503),503,Grade 3,Grade 4,Grade 2,Grade 4,38,55,03/01/26,91.3,7,0,22,5,No
"CONTRERAS, Layla",Grade 4 (529),529,Grade 6,Grade 2,Grade 6,Grade 3,22,34,06/14/26,89.6,7,1,41,4,No
"RODRIGUEZ, Savannah",Emerging K (156),156,Early K,Mid K,Emerging K,Early K,41,57,04/18/26,85.5,10,2,21,3,No
"VARGAS, Anthony",Mid K (363),363,Emerging K,Early K,Mid K,Emerging K,43,53,02/07/26,89.6,7,1,48,4,No
"GOMEZ, Wyatt",Grade 3 (510),510,Grade 2,Grade 3,Grade 2,Grade 3,20,29,03/02/26,97.8,6,1,8,4,No
"YOUNG, Christian",Emerging K (103),103,Mid K,Early K,Early K,Early K,34,49,02/02/26,88.5,17,0,4,3,No
"CAMPBELL, Isabella",Mid Grade 1 (442),442,Early Grade 1,Early Grade 1,Grade 2,Mid Grade 1,22,34,01/18/26,92.6,4,2,14,4,No
"HARRIS, Grayson",Grade 5 (550),550,Grade 7,Grade 6,Grade 5,Grade 7,39,45,05/24/26,99.3,9,0,16,4,No
"GUERRERO, Alexander",Early K (325),325,Early K,Emerging K,Late K,Late K,42,62,03/02/26,89.7,15,2,29,2,No
"AGUILAR, Victoria",Grade 2 (499),499,Late Grade 1,Grade 3,Mid Grade 1,Grade 4,27,36,03/27/26,94.1,8,1,38,4,No
"ESTRADA, Josiah",Emerging Grade 1 (415),415,Emerging Grade 1,Early Grade 1,Emerging Grade 1,Mid Grade 1,37,57,04/03/26,85.9,5,2,38,3,No
"SALAZAR, Mia",Grade 6 (579),579,Grade 8,Grade 4,Grade 6,Grade 8,21,31,04/17/26,91.9,0,0,37,3,No
"RIVERA, Leo",Emerging Grade 1 (414),414,Emerging Grade 1,Emerging Grade 1,Mid K,Late K,30,48,06/16/26,89.3,16,2,35,1,No
"SMITH, Mia",Mid K (359),359,Late K,Emerging Grade 1,Emerging K,Emerging Grade 1,34,52,01/07/26,85.6,9,1,28,4,No
"VARGAS, Jack",Early Grade 1 (430),430,Mid Grade 1,Mid Grade 1,Late K,Late K,40,52,06/06/26,91.4,9,0,14,5,No
"LEWIS, James",Grade 6 (565),565,Grade 7,Grade 6,Grade 8,Grade 6,33,53,04/08/26,94.2,6,0,38,4,No
"RAMIREZ, Evelyn",Mid K (369),369,Mid K,Emerging Grade 1,Mid K,Emerging K,29,43,05/19/26,93.3,10,0,34,4,No
"NELSON, Carter",Grade 2 (493),493,Grade 3,Grade 2,Late Grade 1,Late Grade 1,38,55,02/28/26,93.5,7,1,45,5,No
"TAYLOR, Grayson",Grade 8 (605),605,Grade 7,Grade 6,Grade 6,Grade 8,38,53,01/28/26,97.8,4,2,0,4,No
"CHAVEZ, Jayden",Emerging K (300),300,Early K,Early K,Mid K,Mid K,32,39,03/28/26,86.9,7,4,40,4,Yes
"YOUNG, Aaliyah",Grade 4 (522),522,Grade 6,Grade 2,Grade 3,Grade 4,27,34,04/04/26,94.9,2,0,10,4,No
"GONZALEZ, Emma",Mid K (357),357,Mid K,Mid K,Mid K,Late K,24,36,05/14/26,84.9,8,0,5,4,Yes
"TURNER, Grayson",Late Grade 1 (476),476,Grade 3,Mid Grade 1,Mid Grade 1,Grade 2,40,53,04/09/26,89.6,2,1,18,4,No
"TORRES, Alexander",Emerging Grade 1 (412),412,Mid Grade 1,Emerging Grade 1,Early Grade 1,Emerging Grade 1,34,48,02/13/26,91.9,8,0,22,4,No
"DELGADO, Maya",Emerging K (312),312,Mid K,Early K,Early K,Emerging K,38,44,05/24/26,82.1,11,0,14,4,Yes
"ROJAS, Nora",Mid Grade 1 (460),460,Mid Grade 1,Early Grade 1,Emerging Grade 1,Emerging Grade 1,29,48,01/19/26,91.1,9,3,20,4,Yes
"ROMERO, Jackson",Early K (355),355,Mid K,Mid K,Early K,Mid K,35,49,06/28/26,88.4,11,5,9,4,Yes
"THOMAS, Owen",Grade 7 (598),598,Grade 7,Grade 5,Grade 8,Grade 5,28,36,04/12/26,94.3,1,0,40,5,No
"SALAZAR, Amelia",Emerging Grade 1 (420),420,Mid Grade 1,Emerging Grade 1,Mid Grade 1,Late K,40,47,06/27/26,86.5,10,1,7,2,No
"NUNEZ, Noah",Grade 8 (604),604,Grade 6,Grade 6,Grade 8,Grade 6,32,51,03/22/26,100.0,4,0,37,4,No
"MARTIN, Abigail",Mid Grade 1 (456),456,Grade 2,Late Grade 1,Mid Grade 1,Emerging Grade 1,42,58,02/15/26,90.1,9,0,43,3,No
"MILLER, Hudson",Emerging K (170),170,Emerging K,Emerging K,Early K,Emerging K,41,52,06/21/26,88.1,10,2,15,5,No
"ALVAREZ, Josiah",Emerging K (295),295,Mid K,Emerging K,Mid K,Emerging K,27,42,02/26/26,88.8,10,3,9,5,Yes
"MEDINA, Lucy",Grade 2 (484),484,Mid Grade 1,Late Grade 1,Mid Grade 1,Grade 2,45,57,05/11/26,95.7,8,0,26,4,No
"RAMIREZ, Naomi",Emerging Grade 1 (412),412,Mid Grade 1,Mid Grade 1,Mid K,Early Grade 1,36,48,05/02/26,90.1,3,1,19,4,No
"SANCHEZ, Emma",Grade 8 (613),613,Grade 7,Grade 8,Grade 6,Grade 7,42,61,01/03/26,96.3,7,0,39,4,No
"JOHNSON, Christopher",Late K (400),400,Early Grade 1,Late K,Emerging Grade 1,Early Grade 1,39,57,01/26/26,88.6,4,1,49,4,No
"THOMPSON, Chloe",Emerging Grade 1 (408),408,Early Grade 1,Emerging Grade 1,Early Grade 1,Early Grade 1,33,41,03/14/26,90.1,11,4,43,5,Yes
"RIVERA, Ethan",Grade 3 (503),503,Grade 4,Late Grade 1,Grade 3,Grade 2,37,43,05/18/26,89.9,5,0,42,5,No
"PEREZ, Theodore",Grade 7 (600),600,Grade 7,Grade 7,Grade 5,Grade 6,24,44,02/28/26,100.0,9,0,48,3,No
"LEE, Owen",Grade 3 (520),520,Grade 5,Grade 5,Late Grade 1,Grade 5,41,54,01/06/26,93.3,12,3,22,1,Yes
"RAMIREZ, Logan",Mid Grade 1 (443),443,Early Grade 1,Emerging Grade 1,Emerging Grade 1,Grade 2,26,43,04/15/26,90.6,11,2,49,5,No
"FLORES, Thomas",Grade 4 (525),525,Grade 3,Grade 6,Grade 2,Grade 2,28,47,06/14/26,91.4,7,0,48,4,No
"THOMPSON, Julian",Emerging K (273),273,Mid K,Mid K,Early K,Mid K,41,55,01/08/26,85.4,13,0,19,5,No
"ORTIZ, Maverick",Grade 2 (490),490,Grade 2,Mid Grade 1,Mid Grade 1,Grade 3,43,61,02/05/26,90.0,11,0,42,5,No
"THOMAS, Isabella",Grade 4 (522),522,Grade 5,Grade 2,Grade 5,Grade 2,30,48,05/13/26,93.8,4,0,1,5,No
"TURNER, Ella",Emerging Grade 1 (412),412,Mid K,Early Grade 1,Mid K,Late K,33,50,05/03/26,88.9,11,0,21,5,No
"WRIGHT, Isabella",Mid Grade 1 (457),457,Grade 2,Early Grade 1,Mid Grade 1,Mid Grade 1,43,52,02/04/26,93.4,10,1,48,4,No
"CASTILLO, Isabella",Grade 6 (576),576,Grade 7,Grade 8,Grade 8,Grade 7,41,56,06/11/26,96.5,7,0,19,5,No
"SANCHEZ, Anna",Late K (383),383,Late K,Emerging Grade 1,Emerging Grade 1,Early K,21,37,03/03/26,85.3,3,0,38,4,No
"MITCHELL, Audrey",Early Grade 1 (422),422,Mid Grade 1,Late Grade 1,Emerging Grade 1,Early Grade 1,39,59,05/05/26,94.8,8,2,21,5,No
"KING, Lucas",Mid Grade 1 (442),442,Early Grade 1,Late Grade 1,Late Grade 1,Grade 2,36,46,03/12/26,94.8,7,2,43,4,No
"WILLIAMS, Ezra",Emerging K (124),124,Mid K,Mid K,Early K,Early K,28,37,03/03/26,87.2,10,0,41,4,No
"CRUZ, Isaac",Mid Grade 1 (443),443,Mid Grade 1,Grade 2,Late Grade 1,Mid Grade 1,24,31,06/22/26,89.7,10,0,11,5,No
"YOUNG, Layla",Early K (329),329,Early K,Emerging K,Mid K,Emerging K,36,42,06/11/26,92.2,7,1,9,2,No
"TURNER, Isaiah",Grade 3 (506),506,Grade 4,Late Grade 1,Grade 4,Grade 3,41,53,04/20/26,92.9,12,0,34,3,No
"MORENO, Dylan",Late K (399),399,Emerging Grade 1,Emerging Grade 1,Late K,Emerging Grade 1,36,54,02/27/26,91.7,13,3,3,4,Yes
"NELSON, Camila",Grade 5 (557),557,Grade 3,Grade 5,Grade 3,Grade 4,28,47,05/05/26,95.8,5,2,28,5,No
"MARTIN, Emma",Emerging K (228),228,Early K,Emerging K,Early K,Emerging K,31,43,01/11/26,93.8,8,1,50,2,No
"ESTRADA, Noah",Grade 5 (556),556,Grade 4,Grade 6,Grade 6,Grade 7,20,27,01/09/26,95.6,8,3,38,4,Yes
"ESTRADA, James",Mid K (359),359,Emerging K,Early K,Late K,Emerging Grade 1,34,41,01/27/26,93.1,8,0,32,4,No
"GUTIERREZ, Willow",Mid K (356),356,Emerging Grade 1,Mid K,Early K,Emerging Grade 1,33,43,06/22/26,96.8,14,0,33,4,No
"NELSON, Lincoln",Emerging K (220),220,Emerging K,Mid K,Early K,Early K,28,33,03/26/26,90.6,12,1,6,4,No
"WILLIAMS, Adrian",Early K (343),343,Mid K,Early K,Late K,Late K,40,50,02/03/26,87.7,3,0,12,1,No
"GONZALEZ, Grace",Mid K (365),365,Emerging Grade 1,Late K,Emerging Grade 1,Late K,28,34,06/07/26,88.5,16,0,41,3,No
"WILSON, Harper",Emerging Grade 1 (413),413,Early Grade 1,Early Grade 1,Emerging Grade 1,Late K,35,55,03/26/26,85.6,8,2,5,3,No
"ADAMS, Scarlett",Mid K (359),359,Emerging K,Mid K,Mid K,Mid K,34,52,02/23/26,86.7,11,2,22,4,No
"CONTRERAS, Aurora",Mid Grade 1 (442),442,Emerging Grade 1,Late Grade 1,Mid Grade 1,Grade 2,45,55,01/05/26,94.8,5,1,8,2,No
"DAVIS, Elena",Late K (399),399,Early K,Early Grade 1,Mid K,Emerging Grade 1,31,47,04/25/26,91.8,10,0,20,4,No
"REYES, Riley",Emerging K (147),147,Early K,Mid K,Early K,Mid K,23,36,03/23/26,79.1,14,0,31,3,Yes
"TORRES, Evelyn",Emerging Grade 1 (415),415,Mid K,Emerging Grade 1,Emerging Grade 1,Mid K,37,51,03/28/26,93.6,13,2,11,5,No
"ROJAS, Claire",Early K (333),333,Early K,Early K,Late K,Emerging K,31,47,04/26/26,90.8,10,3,4,3,Yes
"WALKER, Willow",Early Grade 1 (434),434,Late Grade 1,Late K,Emerging Grade 1,Early Grade 1,40,47,04/15/26,90.4,6,3,49,4,Yes
"JIMENEZ, Anna",Grade 2 (485),485,Grade 3,Grade 4,Mid Grade 1,Mid Grade 1,36,45,03/06/26,97.1,13,0,33,5,No
"MEDINA, Lucas",Early K (338),338,Early K,Mid K,Emerging K,Early K,38,47,02/22/26,84.6,6,0,36,1,Yes
"FLORES, Emma",Emerging K (264),264,Mid K,Early K,Mid K,Emerging K,44,62,05/21/26,94.8,12,1,41,5,No
"MENDOZA, Brooklyn",Grade 3 (513),513,Grade 3,Grade 4,Late Grade 1,Late Grade 1,25,44,04/16/26,91.3,8,0,45,3,No
"MOORE, Julian",Early K (344),344,Emerging K,Mid K,Early K,Late K,23,36,04/08/26,89.8,11,4,39,3,Yes
"JOHNSON, Alexander",Grade 5 (551),551,Grade 4,Grade 4,Grade 6,Grade 7,34,54,03/16/26,100.0,7,0,15,3,No
"PEREZ, Nora",Emerging K (226),226,Mid K,Mid K,Mid K,Early K,29,34,01/14/26,90.2,12,0,25,3,No
"PEREZ, Ellie",Early Grade 1 (427),427,Early Grade 1,Late Grade 1,Early Grade 1,Late K,32,51,05/09/26,93.5,5,1,8,5,No
"WILSON, Isaac",Grade 2 (491),491,Grade 4,Grade 2,Late Grade 1,Late Grade 1,39,56,05/02/26,95.0,8,0,30,4,No
"PHILLIPS, Abigail",Grade 4 (525),525,Grade 4,Grade 6,Grade 4,Grade 3,32,46,05/11/26,91.0,6,0,36,3,No
"WILSON, Liam",Late K (384),384,Emerging Grade 1,Early Grade 1,Late K,Early K,39,59,03/21/26,91.5,4,1,46,1,No
"VASQUEZ, Brooklyn",Early Grade 1 (440),440,Mid Grade 1,Emerging Grade 1,Emerging Grade 1,Late K,38,46,02/01/26,88.7,10,0,13,3,No
"EVANS, Elena",Grade 5 (542),542,Grade 4,Grade 7,Grade 4,Grade 7,30,50,05/13/26,94.5,8,2,21,4,No
"AGUILAR, Caleb",Mid Grade 1 (447),447,Early Grade 1,Mid Grade 1,Grade 2,Mid Grade 1,27,41,03/23/26,93.4,13,0,22,4,No
"CONTRERAS, Nathan",Mid K (374),374,Emerging Grade 1,Late K,Late K,Mid K,44,53,03/02/26,88.7,14,0,28,4,No
"WALKER, Naomi",Early K (355),355,Mid K,Mid K,Early K,Emerging K,39,51,02/02/26,87.4,7,1,3,2,No
"ROBINSON, Carter",Emerging K (297),297,Emerging K,Emerging K,Mid K,Emerging K,33,53,04/21/26,91.0,18,0,41,2,No
"RIVERA, Maverick",Mid Grade 1 (448),448,Grade 2,Emerging Grade 1,Early Grade 1,Late Grade 1,25,31,04/26/26,85.2,8,5,18,5,Yes
"NUNEZ, Sofia",Early Grade 1 (424),424,Early Grade 1,Early Grade 1,Mid Grade 1,Late Grade 1,36,56,02/28/26,89.2,9,2,21,2,No
"MEDINA, Anthony",Late Grade 1 (461),461,Late Grade 1,Late Grade 1,Grade 3,Mid Grade 1,25,42,04/17/26,91.4,10,0,8,4,No
"GARCIA, Riley",Mid K (363),363,Late K,Mid K,Mid K,Mid K,38,43,03/21/26,88.4,12,2,29,3,No
"KING, Ellie",Grade 5 (550),550,Grade 3,Grade 5,Grade 5,Grade 7,27,39,02/16/26,98.0,10,0,26,4,No
"BAKER, Dylan",Grade 3 (507),507,Grade 2,Grade 5,Late Grade 1,Grade 5,34,50,01/19/26,98.3,11,2,12,4,No
"VASQUEZ, Abigail",Mid K (372),372,Late K,Emerging K,Early K,Emerging Grade 1,35,42,05/15/26,91.0,7,1,29,4,No
"LEWIS, Paisley",Late Grade 1 (470),470,Early Grade 1,Grade 2,Late Grade 1,Early Grade 1,43,54,05/03/26,95.4,9,0,3,5,No
"ROBINSON, Ethan",Emerging K (204),204,Emerging K,Emerging K,Mid K,Mid K,40,58,03/13/26,82.3,13,0,5,4,Yes
"ADAMS, Charles",Early K (343),343,Emerging K,Early K,Late K,Early K,43,55,01/25/26,91.7,11,2,34,3,No
"SALAZAR, Grayson",Mid K (367),367,Early K,Mid K,Early K,Emerging K,21,39,05/25/26,95.6,7,0,4,2,No
"HARRIS, Noah",Mid Grade 1 (442),442,Early Grade 1,Emerging Grade 1,Late Grade 1,Late Grade 1,27,38,01/05/26,89.7,8,2,46,4,No
"CARTER, Everly",Grade 2 (491),491,Late Grade 1,Grade 2,Late Grade 1,Grade 4,27,45,03/09/26,100.0,10,2,11,4,No
"PEREZ, Bella",Grade 7 (593),593,Grade 7,Grade 8,Grade 8,Grade 6,29,46,02/25/26,94.2,5,0,45,2,No
"SANCHEZ, Audrey",Early Grade 1 (434),434,Late Grade 1,Late Grade 1,Emerging Grade 1,Mid Grade 1,27,40,02/11/26,87.5,3,3,5,4,Yes
"PEREZ, Sebastian",Mid K (377),377,Emerging Grade 1,Emerging Grade 1,Emerging K,Emerging K,26,37,04/07/26,91.6,8,4,0,3,Yes
"MORALES, Sebastian",Grade 2 (496),496,Late Grade 1,Grade 4,Late Grade 1,Grade 3,27,42,03/13/26,89.2,8,0,23,4,No
"LEWIS, Bella",Emerging K (284),284,Early K,Early K,Emerging K,Early K,30,48,01/19/26,91.8,7,0,35,5,No
"MARTIN, Andrew",Mid K (362),362,Mid K,Early K,Late K,Emerging Grade 1,27,47,05/21/26,92.4,9,2,31,5,No
"YOUNG, Hudson",Emerging Grade 1 (412),412,Late K,Late K,Mid Grade 1,Early Grade 1,25,31,05/02/26,91.6,8,2,3,4,No
"ORTIZ, Jayden",Grade 3 (508),508,Late Grade 1,Grade 2,Late Grade 1,Grade 2,36,55,03/02/26,90.7,4,0,30,4,No
"GARCIA, Liam",Early Grade 1 (434),434,Late K,Late K,Late Grade 1,Early Grade 1,37,51,01/17/26,93.3,4,2,11,2,No
"GREEN, Elijah",Early K (333),333,Mid K,Mid K,Mid K,Late K,22,38,04/15/26,80.8,7,0,43,5,Yes
"LOPEZ, Lucas",Emerging K (197),197,Early K,Mid K,Early K,Emerging K,40,45,06/06/26,93.6,13,1,21,4,No
"SALAZAR, Olivia",Early K (351),351,Mid K,Emerging K,Emerging K,Mid K,37,43,02/28/26,86.2,17,1,48,5,No
"TORRES, Isaac",Mid K (374),374,Early K,Emerging Grade 1,Late K,Emerging Grade 1,30,47,06/05/26,91.0,5,0,47,5,No
"GOMEZ, Mateo",Emerging Grade 1 (403),403,Emerging Grade 1,Mid Grade 1,Mid Grade 1,Mid Grade 1,32,47,01/21/26,89.6,18,1,22,4,No
"THOMPSON, Grayson",Early K (345),345,Emerging K,Mid K,Early K,Emerging K,22,35,02/13/26,88.2,6,2,20,3,No
"GARCIA, Mia",Grade 6 (575),575,Grade 6,Grade 6,Grade 4,Grade 5,22,32,04/15/26,92.4,5,0,5,3,No
"CARTER, Mia",Mid Grade 1 (451),451,Late Grade 1,Emerging Grade 1,Mid Grade 1,Late Grade 1,32,39,06/18/26,99.1,4,1,10,4,No
"ORTIZ, Ella",Mid K (364),364,Late K,Early K,Emerging K,Early K,33,46,04/10/26,88.6,10,0,15,4,No
"CARTER, Bella",Mid Grade 1 (455),455,Emerging Grade 1,Early Grade 1,Mid Grade 1,Emerging Grade 1,32,47,05/13/26,93.1,6,0,41,5,No
"NUNEZ, Evelyn",Mid K (378),378,Early K,Late K,Mid K,Early K,32,47,03/24/26,88.6,7,1,15,3,No
"THOMAS, Lily",Late K (399),399,Mid K,Early Grade 1,Early Grade 1,Mid K,41,46,06/15/26,92.3,9,2,44,2,No
"ALLEN, Jayden",Early K (340),340,Early K,Mid K,Early K,Late K,45,62,01/15/26,92.6,10,0,32,5,No
"MARTIN, Isaiah",Early Grade 1 (432),432,Late Grade 1,Late Grade 1,Late K,Late K,44,56,06/22/26,88.9,12,0,41,4,No
"DIAZ, Aurora",Emerging K (166),166,Emerging K,Mid K,Mid K,Mid K,37,49,04/12/26,84.6,14,1,32,2,Yes
"WALKER, Emma",Emerging K (206),206,Emerging K,Emerging K,Mid K,Emerging K,31,45,03/15/26,89.4,7,0,6,3,No
"HARRIS, Maya",Mid K (365),365,Emerging K,Emerging K,Emerging K,Mid K,40,48,06/26/26,94.2,17,0,11,4,No
"HILL, Carter",Emerging Grade 1 (415),415,Late K,Early Grade 1,Late K,Late K,40,58,04/01/26,90.5,3,1,27,3,No
"MUNOZ, Ryan",Early K (325),325,Emerging K,Early K,Mid K,Mid K,26,45,01/09/26,87.5,7,5,20,4,Yes
"THOMAS, Joshua",Early Grade 1 (432),432,Early Grade 1,Mid Grade 1,Late Grade 1,Emerging Grade 1,41,55,05/19/26,93.0,9,0,19,2,No
"GUTIERREZ, Camila",Early Grade 1 (434),434,Late Grade 1,Emerging Grade 1,Late Grade 1,Mid Grade 1,33,43,04/21/26,85.1,7,4,11,4,Yes
"ESTRADA, Leo",Early K (341),341,Late K,Emerging K,Mid K,Emerging K,35,44,02/27/26,86.3,13,1,26,4,No
"WHITE, Violet",Emerging Grade 1 (403),403,Mid Grade 1,Mid K,Late K,Emerging Grade 1,21,34,02/18/26,89.7,14,1,49,4,No
"WRIGHT, Christopher",Emerging K (129),129,Early K,Mid K,Early K,Mid K,44,50,06/15/26,79.9,8,0,41,4,Yes
"LOPEZ, John",Emerging Grade 1 (412),412,Mid K,Early Grade 1,Mid K,Late K,26,42,06/20/26,89.8,8,0,13,5,No
"RAMIREZ, Ava",Late K (389),389,Early Grade 1,Early Grade 1,Mid K,Late K,42,56,03/19/26,89.8,15,5,43,5,Yes
"JACKSON, Evelyn",Grade 5 (549),549,Grade 4,Grade 4,Grade 4,Grade 4,42,57,02/25/26,96.9,4,0,40,3,No
"TORRES, Savannah",Mid Grade 1 (443),443,Late Grade 1,Grade 2,Mid Grade 1,Mid Grade 1,34,54,03/19/26,97.4,8,2,46,5,No
"MILLER, Genesis",Grade 3 (518),518,Grade 4,Grade 2,Grade 4,Grade 2,35,48,03/27/26,93.2,11,0,31,5,No
"PEREZ, Samantha",Emerging K (260),260,Early K,Emerging K,Emerging K,Emerging K,34,53,01/14/26,90.0,15,0,41,3,No
"RIVERA, Lily",Mid Grade 1 (449),449,Emerging Grade 1,Mid Grade 1,Early Grade 1,Emerging Grade 1,32,46,06/23/26,92.3,5,0,6,1,No
"TORRES, Brooklyn",Early K (335),335,Late K,Emerging K,Emerging K,Mid K,23,41,06/05/26,87.1,11,0,6,2,No
"NUNEZ, Camila",Early K (329),329,Early K,Emerging K,Emerging K,Early K,34,50,06/07/26,88.0,9,0,43,3,No
"RIVERA, Chloe",Grade 4 (525),525,Grade 2,Grade 6,Grade 5,Grade 4,33,48,02/08/26,94.4,8,0,38,4,No
"HERNANDEZ, Wyatt",Grade 3 (510),510,Grade 2,Grade 5,Grade 5,Grade 5,26,43,03/21/26,100.0,9,3,31,3,Yes
